Employee ID,MonthlyIncome,TotalWorkingYears,Work Life Balance Rating,WorkLifeBalance,YearsSinceLastPromotion,Attrition,Department,EmployeeCount,Gender,HourlyRate,JobRole,Attrition Count
1,42682,15,Moderate,2,10,No,Software,1,Male,42,Developer,0
2,45252,5,Good,3,1,No,Human Resources,1,Female,66,Healthcare Representative,0
3,46149,9,Poor,1,4,Yes,Sales,1,Female,96,Manufacturing Director,1
4,27150,22,Excellent,4,5,Yes,Support,1,Female,71,Human Resources,1
5,15894,30,Excellent,4,9,No,Human Resources,1,Male,122,Manager,0
6,41552,33,Moderate,2,14,Yes,Hardware,1,Female,195,Research Director,1
7,5303,4,Excellent,4,1,Yes,Support,1,Female,80,Sales Executive,1
8,28555,2,Moderate,2,2,No,Support,1,Male,165,Human Resources,0
9,3241,8,Moderate,2,2,No,Software,1,Male,134,Manager,0
10,4323,6,Excellent,4,4,No,Human Resources,1,Female,137,Manager,0
11,10587,38,Excellent,4,8,No,Sales,1,Male,159,Human Resources,0
12,7446,16,Good,3,7,No,Human Resources,1,Female,51,Manufacturing Director,0
13,34153,30,Moderate,2,8,Yes,Support,1,Female,189,Manufacturing Director,1
14,47844,14,Moderate,2,11,Yes,Research & Development,1,Female,69,Sales Executive,1
15,21432,2,Moderate,2,1,Yes,Human Resources,1,Male,127,Developer,1
16,50393,27,Poor,1,18,Yes,Software,1,Female,151,Sales Representative,1
17,22090,14,Good,3,4,Yes,Research & Development,1,Male,181,Manager,1
18,47968,5,Good,3,2,No,Software,1,Female,92,Developer,0
19,24665,7,Good,3,3,No,Research & Development,1,Female,81,Manager,0
20,41084,39,Excellent,4,13,Yes,Support,1,Female,66,Manager,1
21,29391,20,Good,3,3,Yes,Software,1,Female,157,Research Scientist,1
22,3835,18,Excellent,4,7,Yes,Hardware,1,Male,162,Manufacturing Director,1
23,30597,36,Poor,1,11,Yes,Support,1,Male,44,Manager,1
24,28296,8,Moderate,2,2,No,Research & Development,1,Female,71,Healthcare Representative,0
25,44614,15,Moderate,2,1,Yes,Hardware,1,Male,44,Manufacturing Director,1
26,12100,22,Moderate,2,1,Yes,Support,1,Female,69,Human Resources,1
27,31621,18,Good,3,4,Yes,Sales,1,Male,146,Developer,1
28,6361,10,Poor,1,5,No,Software,1,Male,83,Manufacturing Director,0
29,22383,9,Moderate,2,1,Yes,Software,1,Female,112,Developer,1
30,3641,3,Good,3,2,No,Support,1,Female,135,Manager,0
31,23302,18,Moderate,2,5,No,Support,1,Male,161,Research Scientist,0
32,8138,10,Good,3,1,No,Hardware,1,Female,47,Sales Representative,0
33,35730,28,Good,3,1,No,Software,1,Female,100,Sales Executive,0
34,42788,26,Moderate,2,5,No,Sales,1,Male,86,Healthcare Representative,0
35,37974,7,Poor,1,2,No,Support,1,Male,111,Research Scientist,0
36,10478,12,Excellent,4,7,No,Hardware,1,Male,186,Human Resources,0
37,40937,34,Good,3,1,No,Human Resources,1,Female,103,Human Resources,0
38,39035,23,Excellent,4,3,No,Support,1,Female,175,Sales Representative,0
39,40831,39,Good,3,7,Yes,Research & Development,1,Female,64,Developer,1
40,2198,9,Moderate,2,4,Yes,Research & Development,1,Male,106,Laboratory Technician,1
41,4886,3,Moderate,2,1,No,Software,1,Male,129,Human Resources,0
42,21259,34,Moderate,2,7,Yes,Research & Development,1,Male,136,Sales Representative,1
43,38523,39,Excellent,4,4,Yes,Hardware,1,Male,138,Sales Executive,1
44,14544,30,Good,3,1,Yes,Hardware,1,Female,154,Manager,1
45,44893,18,Excellent,4,11,No,Support,1,Female,48,Developer,0
46,24444,13,Good,3,9,No,Software,1,Female,56,Developer,0
47,50248,34,Poor,1,20,No,Software,1,Male,44,Sales Executive,0
48,14164,35,Good,3,4,No,Support,1,Female,98,Sales Representative,0
49,31062,9,Poor,1,2,Yes,Research & Development,1,Female,85,Healthcare Representative,1
50,38894,10,Poor,1,5,No,Support,1,Female,95,Healthcare Representative,0
51,41349,9,Moderate,2,1,Yes,Support,1,Female,200,Laboratory Technician,1
52,8574,14,Poor,1,2,Yes,Software,1,Male,57,Sales Executive,1
53,1120,28,Good,3,2,Yes,Software,1,Female,170,Manager,1
54,21954,3,Moderate,2,2,Yes,Sales,1,Male,78,Healthcare Representative,1
55,19402,35,Poor,1,11,Yes,Human Resources,1,Male,162,Manager,1
56,14128,31,Poor,1,20,No,Software,1,Male,119,Human Resources,0
57,37768,9,Poor,1,5,Yes,Human Resources,1,Female,181,Sales Representative,1
58,22231,9,Excellent,4,3,Yes,Research & Development,1,Female,152,Sales Representative,1
59,42815,23,Good,3,4,Yes,Human Resources,1,Female,168,Human Resources,1
60,36488,16,Moderate,2,4,Yes,Research & Development,1,Female,168,Manufacturing Director,1
61,8520,18,Poor,1,1,No,Hardware,1,Female,55,Research Director,0
62,16307,23,Poor,1,1,Yes,Sales,1,Female,125,Research Director,1
63,41919,37,Moderate,2,2,Yes,Hardware,1,Male,162,Healthcare Representative,1
64,13590,32,Good,3,11,Yes,Sales,1,Female,90,Manufacturing Director,1
65,18047,1,Moderate,2,1,Yes,Human Resources,1,Female,121,Developer,1
66,7964,31,Poor,1,1,Yes,Human Resources,1,Female,39,Human Resources,1
67,2564,20,Good,3,1,Yes,Research & Development,1,Male,62,Developer,1
68,21114,11,Excellent,4,1,Yes,Human Resources,1,Male,200,Manager,1
69,23025,8,Excellent,4,2,No,Sales,1,Female,101,Research Scientist,0
70,39899,2,Poor,1,1,No,Support,1,Female,99,Healthcare Representative,0
71,12210,15,Good,3,1,Yes,Software,1,Female,65,Human Resources,1
72,40453,30,Poor,1,2,Yes,Software,1,Female,175,Laboratory Technician,1
73,9472,40,Moderate,2,8,Yes,Sales,1,Male,37,Sales Representative,1
74,17944,5,Good,3,1,Yes,Support,1,Male,142,Sales Representative,1
75,18522,27,Moderate,2,4,Yes,Hardware,1,Female,142,Research Scientist,1
76,39184,36,Excellent,4,13,No,Software,1,Female,70,Laboratory Technician,0
77,32599,21,Moderate,2,2,Yes,Research & Development,1,Female,67,Developer,1
78,47785,24,Good,3,7,No,Software,1,Male,166,Research Scientist,0
79,50464,24,Excellent,4,13,No,Research & Development,1,Female,89,Sales Representative,0
80,14031,24,Moderate,2,1,Yes,Hardware,1,Female,193,Developer,1
81,19147,16,Excellent,4,5,Yes,Hardware,1,Female,66,Developer,1
82,34178,10,Excellent,4,8,No,Sales,1,Female,49,Manager,0
83,1893,22,Moderate,2,6,No,Research & Development,1,Female,135,Human Resources,0
84,46339,14,Moderate,2,3,Yes,Human Resources,1,Female,157,Sales Executive,1
85,32237,28,Excellent,4,12,Yes,Research & Development,1,Female,189,Developer,1
86,42673,35,Excellent,4,5,No,Sales,1,Female,168,Sales Representative,0
87,27653,21,Good,3,8,No,Research & Development,1,Female,50,Research Director,0
88,20041,12,Moderate,2,1,No,Research & Development,1,Female,37,Sales Representative,0
89,48708,35,Excellent,4,7,Yes,Human Resources,1,Male,89,Human Resources,1
90,23829,10,Poor,1,1,Yes,Research & Development,1,Male,174,Research Director,1
91,2166,34,Good,3,2,Yes,Software,1,Female,179,Sales Executive,1
92,2125,9,Poor,1,8,Yes,Support,1,Male,191,Sales Executive,1
93,48966,6,Moderate,2,2,Yes,Support,1,Female,60,Manager,1
94,49932,16,Excellent,4,4,Yes,Software,1,Female,43,Research Scientist,1
95,40530,2,Excellent,4,1,No,Human Resources,1,Male,127,Developer,0
96,35606,1,Excellent,4,1,Yes,Research & Development,1,Female,107,Human Resources,1
97,19322,38,Moderate,2,11,No,Software,1,Male,163,Research Scientist,0
98,14216,39,Poor,1,11,No,Sales,1,Male,132,Research Director,0
99,32109,2,Good,3,1,Yes,Human Resources,1,Male,49,Sales Representative,1
100,44994,9,Good,3,6,No,Support,1,Female,193,Healthcare Representative,0
101,16843,35,Good,3,12,Yes,Sales,1,Female,90,Manager,1
102,42582,7,Excellent,4,3,No,Sales,1,Male,87,Manager,0
103,36629,24,Good,3,16,Yes,Support,1,Male,99,Research Scientist,1
104,4258,34,Moderate,2,19,Yes,Support,1,Female,195,Sales Representative,1
105,46688,22,Moderate,2,9,Yes,Software,1,Female,88,Sales Representative,1
106,17815,20,Poor,1,1,No,Sales,1,Female,191,Healthcare Representative,0
107,42771,37,Good,3,11,No,Human Resources,1,Male,100,Sales Executive,0
108,17303,23,Good,3,18,No,Research & Development,1,Female,49,Research Director,0
109,1957,3,Good,3,3,No,Software,1,Female,50,Sales Representative,0
110,16303,7,Moderate,2,3,Yes,Software,1,Male,179,Manufacturing Director,1
111,39266,27,Poor,1,11,Yes,Hardware,1,Male,108,Laboratory Technician,1
112,10932,4,Moderate,2,3,No,Research & Development,1,Female,88,Manager,0
113,16034,20,Poor,1,4,Yes,Sales,1,Male,183,Sales Representative,1
114,7258,22,Excellent,4,21,No,Human Resources,1,Male,163,Sales Executive,0
115,48485,40,Excellent,4,1,Yes,Hardware,1,Male,158,Healthcare Representative,1
116,40318,27,Excellent,4,9,Yes,Research & Development,1,Female,105,Research Director,1
